	X.X	Y.Y
('C-86589_BALBc-1_X01_Y01_818_406', 'Cell Type: B cells')	818	1594
('C-86924_BALBc-1_X01_Y01_821_936', 'Cell Type: B cells')	821	1064
('C-87345_BALBc-1_X01_Y01_827_373', 'Cell Type: B cells')	827	1627
('C-87649_BALBc-1_X01_Y01_830_295', 'Cell Type: B cells')	830	1705
('C-87664_BALBc-1_X01_Y01_830_425', 'Cell Type: B cells')	830	1575
('C-88044_BALBc-1_X01_Y01_835_742', 'Cell Type: B cells')	835	1258
('C-88079_BALBc-1_X01_Y01_836_344', 'Cell Type: B cells')	836	1656
('C-88188_BALBc-1_X01_Y01_837_652', 'Cell Type: B cells')	837	1348
('C-88270_BALBc-1_X01_Y01_838_807', 'Cell Type: B cells')	838	1193
('C-88505_BALBc-1_X01_Y01_840_865', 'Cell Type: B cells')	840	1135
('C-88518_BALBc-1_X01_Y01_840_980', 'Cell Type: B cells')	840	1020
('C-88712_BALBc-1_X01_Y01_843_668', 'Cell Type: B cells')	843	1332
('C-89100_BALBc-1_X01_Y01_848_541', 'Cell Type: B cells')	848	1459
('C-90045_BALBc-1_X01_Y01_859_822', 'Cell Type: B cells')	859	1178
('C-90185_BALBc-1_X01_Y01_860_626', 'Cell Type: B cells')	860	1374
('C-90284_BALBc-1_X01_Y01_861_874', 'Cell Type: B cells')	861	1126
('C-90366_BALBc-1_X01_Y01_863_139', 'Cell Type: B cells')	863	1861
('C-91015_BALBc-1_X01_Y01_870_358', 'Cell Type: B cells')	870	1642
('C-91213_BALBc-1_X01_Y01_872_895', 'Cell Type: B cells')	872	1105
('C-91215_BALBc-1_X01_Y01_872_930', 'Cell Type: B cells')	872	1070
('C-91352_BALBc-1_X01_Y01_874_726', 'Cell Type: B cells')	874	1274
('C-91645_BALBc-1_X01_Y01_878_559', 'Cell Type: B cells')	878	1441
